--------------------------------------------------

 location_id: 55033  	toplam check-in: 5811
 location_id: 19542  	toplam check-in: 5662
 location_id: 9410  	toplam check-in: 4713
 location_id: 10259  	toplam check-in: 4083
 location_id: 58725  	toplam check-in: 3476
 location_id: 14470  	toplam check-in: 3420
 location_id: 23256  	toplam check-in: 3416
 location_id: 9246  	toplam check-in: 3402
 location_id: 10190  	toplam check-in: 3398
 location_id: 9241  	toplam check-in: 3322
 location_id: 22831  	toplam check-in: 3121
 location_id: 66171  	toplam check-in: 2950
 location_id: 11319  	toplam check-in: 2453
 location_id: 23372  	toplam check-in: 2275
 location_id: 63842  	toplam check-in: 2081
 location_id: 46077  	toplam check-in: 1980
 location_id: 420315  	toplam check-in: 1875
 location_id: 23524  	toplam check-in: 1854
 location_id: 23523  	toplam check-in: 1764
 location_id: 12505  	toplam check-in: 1680
 location_id: 9247  	toplam check-in: 1666
 location_id: 23261  	toplam check-in: 1654
 location_id: 14128  	toplam check-in: 1583
 location_id: 316637  	toplam check-in: 1580
 location_id: 66106  	toplam check-in: 1439
 location_id: 63743  	toplam check-in: 1377
 location_id: 12802  	toplam check-in: 1325
 location_id: 18643  	toplam check-in: 1270
 location_id: 153505  	toplam check-in: 1257
 location_id: 17165  	toplam check-in: 1240
 location_id: 64718  	toplam check-in: 1215
 location_id: 23275  	toplam check-in: 1201
 location_id: 9227  	toplam check-in: 1200
 location_id: 758476  	toplam check-in: 1200
 location_id: 14710  	toplam check-in: 1176
 location_id: 15684  	toplam check-in: 1175
 location_id: 52957  	toplam check-in: 1144
 location_id: 21714  	toplam check-in: 1116
 location_id: 16399  	toplam check-in: 1093
 location_id: 11844  	toplam check-in: 1089
 location_id: 24963  	toplam check-in: 1089
 location_id: 58920  	toplam check-in: 1088
 location_id: 9225  	toplam check-in: 1061
 location_id: 74512  	toplam check-in: 1057
 location_id: 70584  	toplam check-in: 1056
 location_id: 10677  	toplam check-in: 1055
 location_id: 33472  	toplam check-in: 1037
 location_id: 17831  	toplam check-in: 1028
 location_id: 24956  	toplam check-in: 1023
 location_id: 24767  	toplam check-in: 1021
 location_id: 9326  	toplam check-in: 1016
 location_id: 13022  	toplam check-in: 1005
 location_id: 9223  	toplam check-in: 994
 location_id: 74453  	toplam check-in: 994
 location_id: 58876  	toplam check-in: 981
 location_id: 26106  	toplam check-in: 980
 location_id: 69788  	toplam check-in: 980
 location_id: 124132  	toplam check-in: 978
 location_id: 14045  	toplam check-in: 969
 location_id: 69644  	toplam check-in: 957
 location_id: 9724  	toplam check-in: 937
 location_id: 631060  	toplam check-in: 937
 location_id: 9362  	toplam check-in: 935
 location_id: 10377  	toplam check-in: 930
 location_id: 34041  	toplam check-in: 906
 location_id: 8977  	toplam check-in: 904
 location_id: 22833  	toplam check-in: 904
 location_id: 9430  	toplam check-in: 901
 location_id: 84628  	toplam check-in: 901
 location_id: 9220  	toplam check-in: 898
 location_id: 9222  	toplam check-in: 885
 location_id: 107632  	toplam check-in: 878
 location_id: 23526  	toplam check-in: 876
 location_id: 9066  	toplam check-in: 861
 location_id: 43638  	toplam check-in: 841
 location_id: 12535  	toplam check-in: 838
 location_id: 45241  	toplam check-in: 837
 location_id: 60049  	toplam check-in: 803
 location_id: 211530  	toplam check-in: 801
 location_id: 25071  	toplam check-in: 784
 location_id: 9313  	toplam check-in: 782
 location_id: 11591  	toplam check-in: 757
 location_id: 22899  	toplam check-in: 756
 location_id: 23373  	toplam check-in: 754
 location_id: 23519  	toplam check-in: 754
 location_id: 50402  	toplam check-in: 754
 location_id: 623366  	toplam check-in: 754
 location_id: 17159  	toplam check-in: 753
 location_id: 28227  	toplam check-in: 753
 location_id: 76469  	toplam check-in: 752
 location_id: 30432  	toplam check-in: 749
 location_id: 9221  	toplam check-in: 737
 location_id: 31707  	toplam check-in: 735
 location_id: 155746  	toplam check-in: 732
 location_id: 259919  	toplam check-in: 731
 location_id: 25567  	toplam check-in: 728
 location_id: 9306  	toplam check-in: 721
 location_id: 12840  	toplam check-in: 720
 location_id: 53626  	toplam check-in: 719
 location_id: 9249  	toplam check-in: 706

--------------------------------------------------
